Type;count
Kia Fort;15
BMW 1 Series Coup;7
Chevrolet Corvette Coup;24
Audi S4 Seda;3
Toyota Tacom;38
Mazda RX-;10
Cadillac Escalad;24
Honda Ridgelin;6
Suzuki Equato;15
Subaru Impreza WRX Seda;8
Volvo V5;5
Mercedes-Benz E-Class Cabriole;2
Infiniti QX5;6
Infiniti E;16
Ford Escap;32
Mitsubishi Outlande;6
Hyundai Azer;4
Infiniti G37 Coup;12
Lotus Exig;5
Bentley Continental Supersports Coup;1
Ferrari 612 Scagliett;1
Kia Forte Kou;12
Lexus I;14
Honda Pilo;20
Subaru Legac;19
BMW X;4
Hyundai Sonata Hybri;1
Honda Fi;12
Porsche 911 Coup;16
BMW M3 Cou;2
Hyundai Genesis Seda;7
Hyundai Accent Seda;6
Bentley Brookland;1
Jeep Grand Cheroke;48
Dodge Durang;22
Cadillac SR;16
Nissan Pathfinde;33
Chevrolet Cruz;16
Audi TT R;1
Acura TSX Sport Wago;2
Volvo S4;7
Honda CR-;4
Bentley Continental Supersport;1
Honda Civic Coup;8
Toyota 4Runne;16
Chevrolet Ave;5
Ford Mustang Shelby GT500 Convertibl;3
Mitsubishi Lancer Evolutio;2
Mitsubishi Lancer Sportbac;3
Chevrolet Malibu Hybri;1
Lincoln MK;2
Volkswagen GTI 4-Doo;4
Honda Accord Cou;7
Nissan Versa Seda;13
Lexus R;2
BMW 7 Serie;17
Chevrolet Suburban Three-Quarter-To;4
Nissan Frontie;55
BMW ALPINA B7 Seda;4
Jaguar X;18
Ford Fiesta Hatchbac;4
Maybach 5;5
GMC Terrai;36
Porsche Cayenne S Hybri;1
Hyundai Elantra Seda;15
Chevrolet Corvette Grand Sport Convertibl;24
Nissan Sentr;9
Saab 9-5 Seda;7
Maybach 6;5
Jeep Commande;6
Volkswagen Passa;6
Dodge Grand Carava;15
Mitsubishi Eclipse Coup;14
Chevrolet Suburban Half-To;6
BMW X;6
Volkswagen GTI 2-Doo;4
BMW 1 Series Convertibl;10
Mazda MX-5 Miat;28
Audi R8 Coup;6
Volkswagen Golf 4-Doo;6
Ford E-150 Va;12
Subaru Impreza Seda;13
Jeep Patrio;23
Buick Enclav;20
Toyota Yaris 5-Door Liftbac;8
Mercedes-Benz SLK-Clas;7
Dodge Journe;19
Saab 9-3 Sport Seda;20
Mercedes-Benz R-Clas;6
BMW 5 Series Sports Wago;2
Audi Q;6
Aston Martin V8 Vantage Roadste;5
Chevrolet HHR Pane;8
Toyota Matri;13
Infiniti F;9
Nissan Cub;6
Mercedes-Benz CL-Clas;8
Transit Connect Va;4
Chevrolet Taho;12
Lamborghini Gallardo Cou;1
Dodge Nitr;18
Lincoln MK;6
Maserati GranTurismo Cou;4
Volkswagen Golf 2-Doo;9
Ford Range;38
mode;1
Mercury Grand Marqui;2
Ford Transit Connect Wago;2
Lotus Evor;1
Rolls-Royce Phantom Coup;2
Toyota RAV;24
Hyundai Santa F;27
Mercedes-Benz M-Clas;8
BMW 1 Series Cou;4
Cadillac Escalade ES;24
Kia Sorent;22
BMW 3 Series Seda;18
Ford Edg;25
Mitsubishi Endeavo;6
Aston Martin Virage Volant;2
Honda Accord Seda;28
Nissan Altima Coup;7
Audi A6 Avan;2
BMW 3 Series Cou;29
GMC Savan;41
Kia Sedon;7
